cell,seed,round,metric,value
CTRL-base,1201,0,final_extracted,0.745
CTRL-base,1201,0,final_strict,0.6125
Q5-AD-M-LR1e-5-U1-K16,1201,0,final_extracted,0.745
Q5-AD-M-LR1e-5-U1-K16,1201,0,final_strict,0.6125
Q5-AD-M-LR1e-5-U1-K16,1201,1,final_extracted,0.75
Q5-AD-M-LR1e-5-U1-K16,1201,2,final_extracted,0.7475
Q5-AD-M-LR1e-5-U1-K16,1201,4,final_extracted,0.7375
Q5-AD-M-LR1e-5-U1-K16,1201,8,final_extracted,0.74
Q5-AD-M-LR1e-5-U1-K16,1201,16,final_extracted,0.7775
Q5-AD-M-LR1e-5-U1-K16,1201,24,final_extracted,0.8
Q5-AD-M-LR1e-5-U1-K16,1201,32,final_extracted,0.7975
Q5-AD-M-LR1e-5-U1-K16,1201,1,final_strict,0.6075
Q5-AD-M-LR1e-5-U1-K16,1201,2,final_strict,0.6075
Q5-AD-M-LR1e-5-U1-K16,1201,4,final_strict,0.625
Q5-AD-M-LR1e-5-U1-K16,1201,8,final_strict,0.655
Q5-AD-M-LR1e-5-U1-K16,1201,16,final_strict,0.72
Q5-AD-M-LR1e-5-U1-K16,1201,24,final_strict,0.7525
Q5-AD-M-LR1e-5-U1-K16,1201,32,final_strict,0.7475
Q5-EARLY-HALF,1201,0,final_extracted,0.745
Q5-EARLY-HALF,1201,0,final_strict,0.6125
Q5-EARLY-HALF,1201,1,final_extracted,0.7325
Q5-EARLY-HALF,1201,2,final_extracted,0.7375
Q5-EARLY-HALF,1201,4,final_extracted,0.755
Q5-EARLY-HALF,1201,8,final_extracted,0.7675
Q5-EARLY-HALF,1201,16,final_extracted,0.7925
Q5-EARLY-HALF,1201,24,final_extracted,0.82
Q5-EARLY-HALF,1201,32,final_extracted,0.815
Q5-EARLY-HALF,1201,1,final_strict,0.5975
Q5-EARLY-HALF,1201,2,final_strict,0.62
Q5-EARLY-HALF,1201,4,final_strict,0.635
Q5-EARLY-HALF,1201,8,final_strict,0.6825
Q5-EARLY-HALF,1201,16,final_strict,0.7375
