cell,seed,train_llm_gen,optimizer_steps,accelerator_hours,eval_format_failure_fraction,eval_strict_correct_and_eos_fraction,eval_eos_given_strict_correct_fraction,eval_nonempty_reasoning_fraction,eval_strict_correct_with_reasoning_fraction,eval_direct_answer_only_fraction,eval_strict_format_failure_fraction,eval_fallback_parse_fraction,eval_unparsed_fraction,eval_multiple_marker_fraction,eval_nonterminal_marker_fraction,eval_correct_without_marker_fraction,eval_natural_eos_fraction,eval_hit_max_new_fraction,eval_mean_tokens_until_eos,gpu,backward_tokens
CTRL-base,1201,0,0,0.1720555555555555,0.2525,0.6125,1.0,0.7775,0.6125,0.0,0.2525,0.0,0.0,0.0,0.03,0.0,0.9375,0.0625,131.3675,NVIDIA H100 80GB HBM3,0
Q5-AD-M-LR1e-5-U1-K16,1201,2048,32,0.5348055555555555,0.1375,0.745,0.9966555183946488,0.8875,0.7475,0.0,0.1375,0.0,0.0,0.0,0.025,0.0,0.92,0.08,151.12,NVIDIA H100 80GB HBM3,154840
Q5-EARLY-HALF,1201,2048,32,0.6816944444444444,0.135,0.75,1.0,0.875,0.75,0.0,0.135,0.0,0.0,0.0,0.01,0.0,0.9325,0.0675,150.635,NVIDIA H100 80GB HBM3,155008
Q5-LATE-HALF,1201,2048,32,0.7400555555555555,0.1,0.7825,1.0,0.9275,0.7825,0.0,0.1,0.0,0.0,0.0,0.0275,0.0,0.955,0.045,148.6975,NVIDIA H100 80GB HBM3,160642
Q5-UNIFORM075,1201,2048,32,0.6254722222222222,0.115,0.76,1.0,0.905,0.76,0.0,0.115,0.0,0.0,0.0,0.02,0.0,0.945,0.055,149.7875,NVIDIA H100 80GB HBM3,157254
CTRL-base,1213,0,0,0.0968055555555555,0.0975,0.72,1.0,0.93,0.72,0.0,0.0975,0.0,0.0,0.0,0.0275,0.0,0.97,0.03,101.5525,NVIDIA H100 80GB HBM3,0
Q5-AD-M-LR1e-5-U1-K16,1213,2048,32,0.5865277777777778,0.345,0.555,1.0,0.6775,0.555,0.0,0.345,0.0,0.0,0.0,0.0225,0.0,0.93,0.07,154.315,NVIDIA H100 80GB HBM3,152090
Q5-EARLY-HALF,1213,2048,32,0.6057777777777779,0.375,0.555,1.0,0.6475,0.555,0.0,0.375,0.0,0.0,0.0,0.0225,0.0,0.9275,0.0725,152.4475,NVIDIA H100 80GB HBM3,160151
Q5-LATE-HALF,1213,2048,32,0.5881944444444445,0.2375,0.66,1.0,0.785,0.66,0.0,0.2375,0.0,0.0,0.0,0.0225,0.0,0.9325,0.0675,148.51,NVIDIA H100 80GB HBM3,155498
Q5-UNIFORM075,1213,2048,32,0.6423055555555556,0.3775,0.5425,1.0,0.6425,0.5425,0.0,0.3775,0.0,0.0,0.0,0.02,0.0,0.905,0.095,157.4075,NVIDIA H100 80GB HBM3,154113
CTRL-base,1217,0,0,0.1173611111111111,0.4025,0.5075,0.9902439024390244,0.665,0.5125,0.0,0.4025,0.0,0.0,0.0,0.0675,0.0,0.9125,0.0875,131.26,NVIDIA H100 80GB HBM3,0
Q5-AD-M-LR1e-5-U1-K16,1217,2048,32,0.6082222222222222,0.1,0.775,1.0,0.92,0.775,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.9625,0.0375,131.7625,NVIDIA H100 80GB HBM3,162069
Q5-EARLY-HALF,1217,2048,32,0.6362777777777777,0.16,0.71,1.0,0.87,0.71,0.0,0.16,0.0,0.0,0.0,0.03,0.0,0.9425,0.0575,136.8975,NVIDIA H100 80GB HBM3,156142
Q5-LATE-HALF,1217,2048,32,0.6746944444444445,0.125,0.75,1.0,0.9025,0.75,0.0,0.125,0.0,0.0,0.0,0.0275,0.0,0.9425,0.0575,134.525,NVIDIA H100 80GB HBM3,162667
Q5-UNIFORM075,1217,2048,32,0.7382222222222222,0.0825,0.7875,0.9968354430379747,0.9475,0.79,0.0,0.0825,0.0,0.0,0.0,0.03,0.0,0.9675,0.0325,130.995,NVIDIA H100 80GB HBM3,165980
