cell,seed,final_extracted,final_strict,extracted_auc,strict_auc,train_llm_gen,optimizer_steps,accelerator_hours,backward_tokens
CTRL-base,1201,0.745,0.6125,0.745,0.6125,0,0,0.17205555555555554,
Q5-AD-M-LR1e-5-U1-K16,1201,0.7975,0.7475,0.7720703125000001,0.7,2048,32,0.5348055555555555,
Q5-EARLY-HALF,1201,0.815,0.75,0.7887890625,0.7148046875,2048,32,0.6816944444444444,155008.0
Q5-LATE-HALF,1201,0.8325,0.7825,0.7826562499999999,0.71265625,2048,32,0.7400555555555555,160642.0
Q5-UNIFORM075,1201,0.8075,0.76,0.7779296875,0.708984375,2048,32,0.6254722222222222,157254.0
CTRL-base,1213,0.7525,0.72,0.7525,0.72,0,0,0.09680555555555556,
Q5-AD-M-LR1e-5-U1-K16,1213,0.785,0.555,0.797421875,0.6834765625,2048,32,0.5865277777777778,
Q5-EARLY-HALF,1213,0.7875,0.555,0.797578125,0.667578125,2048,32,0.6057777777777779,160151.0
Q5-LATE-HALF,1213,0.7975,0.66,0.7977734375,0.6931640625,2048,32,0.5881944444444445,155498.0
Q5-UNIFORM075,1213,0.77,0.5425,0.7928515625,0.667421875,2048,32,0.6423055555555556,154113.0
CTRL-base,1217,0.7675,0.5125,0.7675,0.5125,0,0,0.11736111111111111,
Q5-AD-M-LR1e-5-U1-K16,1217,0.8225,0.775,0.809609375,0.6791796875,2048,32,0.6082222222222222,
Q5-EARLY-HALF,1217,0.8025,0.71,0.808125,0.6623046874999999,2048,32,0.6362777777777777,156142.0
Q5-LATE-HALF,1217,0.8075,0.75,0.8068359374999999,0.671953125,2048,32,0.6746944444444445,162667.0
Q5-UNIFORM075,1217,0.8275,0.79,0.8087109374999999,0.6847265625000001,2048,32,0.7382222222222222,165980.0
