study,cell,proposal,seed,round,S,M,J,allocation_phase,nonempty_questions,mean_trace_count,mean_entropy,mean_normalized_entropy,mean_effective_count,mean_effective_fraction,mean_largest_weight,mean_correct_trace_mass,mean_trace_age,buffer_rows_all_questions,buffer_active_questions,buffer_lifecycle,refresh
common_grid,VIN-S8-B8-U1,question,31,0,8,8,1,after_last_inner_refresh,8,7.375,0.018991724323598354,0.009133130883575043,1.0081642588216342,0.13985982030216437,0.996025450527668,0.6249584711160425,0,59,8,persistent,inner_step
common_grid,VIN-S8-B8-U1,question,31,1,8,8,1,after_last_inner_refresh,8,6.375,0.1954445227898633,0.1003736129639745,1.1633789302592477,0.1827266250392884,0.9360719099640846,0.3875543968531932,0,110,16,persistent,inner_step
common_grid,VIN-S8-B8-U1,question,31,2,8,8,1,after_last_inner_refresh,8,6.25,0.05047016655360454,0.027100310805933555,1.025633182532862,0.16781453857256512,0.9877870455384254,0.8750000130388086,0,160,24,persistent,inner_step
common_grid,VIN-S8-B8-U1,question,31,3,8,8,1,after_last_inner_refresh,8,7,0.1136127809466651,0.055902125269724316,1.0824289219825975,0.1569130942977466,0.9636404663324356,0.9999804940131447,0,216,32,persistent,inner_step
common_grid,VIN-S8-B8-U1,question,31,4,8,8,1,after_last_inner_refresh,8,6.875,0.1025701599922517,0.05334266126587708,1.0552167990000483,0.15613995983532467,0.9742513820528984,0.5073249702045028,0,271,40,persistent,inner_step
common_grid,VIN-S8-B8-U1,question,31,5,8,8,1,after_last_inner_refresh,8,6,0.10902065348205954,0.06335766563529566,1.0827866620574784,0.19587199554536253,0.9636189416050911,0.7748300494382109,0,319,48,persistent,inner_step
common_grid,VIN-S8-B8-U1,question,31,6,8,8,1,after_last_inner_refresh,8,7.25,0.07307540618510903,0.03965781573264405,1.0503116765684053,0.1480118919957601,0.9775939807295799,0.8750000036980699,0,377,56,persistent,inner_step
common_grid,VIN-S8-B8-U1,question,31,7,8,8,1,after_last_inner_refresh,8,7,0.3285967134887956,0.16367177826063709,1.4003437142758166,0.20048718531072623,0.8395995944738388,0.9359819490278101,0,433,64,persistent,inner_step
common_grid,VIN-S8-B8-U1,question,31,8,8,8,1,after_last_inner_refresh,8,6.375,0.10859071369798434,0.0632913153067048,1.0722037308192325,0.17203452851452217,0.9673499837517738,0.6386891061808961,0,484,72,persistent,inner_step
common_grid,VIN-S8-B8-U1,question,31,9,8,8,1,after_last_inner_refresh,8,6.75,0.09722178586093805,0.05290017672808395,1.054242444388093,0.15901313097667044,0.9744966477155685,0.7498858621478058,0,538,80,persistent,inner_step
