study,cell,seed,question_allocations,mean_trace_count,mean_entropy,mean_normalized_entropy,mean_effective_count,mean_effective_fraction,mean_largest_weight,mean_correct_trace_mass,mean_mean_trace_age
common_grid,PIS-S8-B8-U1,31,256,6.65234375,1.2082343108101736,0.6433990804992263,3.790169633994393,0.5735531720875423,0.391641938011162,0.8111153688514605,0
common_grid,PIS-S8-B8-U1,47,256,6.58984375,1.168739046367915,0.6199528600183022,3.751744944711599,0.5635635207922378,0.4074311634176411,0.8560873633832671,0
common_grid,PIS-S8-B8-U1,73,256,6.68359375,1.2833195625119336,0.6814965072363547,4.088679867634161,0.6158597499919758,0.3630307341227308,0.8390950825869368,0
common_grid,PIS-S8-B8-U4,31,256,6.515625,1.1765691350825502,0.6301846318582044,3.6532292934537556,0.5571104549494214,0.42984951462130994,0.7716562355781207,0
common_grid,PIS-S8-B8-U4,47,256,6.4765625,1.2078896165460813,0.6457404176389158,3.8173400358091873,0.5821317327184927,0.40836250910069793,0.8029362131364906,0
common_grid,PIS-S8-B8-U4,73,256,6.23046875,1.2657625549559863,0.6898548075321873,3.918200651200316,0.6276129803258905,0.38240643846802413,0.7867723146046046,0
common_grid,VIN-S8-B8-U1,31,256,7.2578125,0.14627337841963012,0.07261034573943452,1.1387508402713944,0.16017931499913335,0.9434831298422068,0.707496667180111,1.392578125
common_grid,VIN-S8-B8-U1,47,256,7.03125,0.15021865883393523,0.07841886391460907,1.1510441192615226,0.17243943171142814,0.9391359895234928,0.7411991909620866,1.25341796875
common_grid,VIN-S8-B8-U1,73,256,7.03125,0.21469607184982917,0.11105001175725257,1.2097895380913481,0.1819473229646908,0.916759816929698,0.7399084885195794,1.2373046875
common_grid,VIN-S8-B8-U4,31,256,7.55859375,0.3308328784341904,0.16155875428517236,1.381468692548769,0.184519319834456,0.8623396604089066,0.7252825368061391,1.3681640625
common_grid,VIN-S8-B8-U4,47,256,7.3828125,0.29944227061123385,0.14705071554808966,1.3211349830253591,0.1803619226898424,0.8834061067318544,0.658174900943694,1.1787109375
common_grid,VIN-S8-B8-U4,73,256,7.34765625,0.35755103492896334,0.17782611177257587,1.38806731189136,0.19430708269824842,0.8559736681636423,0.7469026806924912,1.8873372395833334
persistent_bridge,Q5-U-Joint,31,119,12.655462184873949,0.139854895132872,0.05259364478612283,1.1291008674870024,0.14032317184232637,0.9473649859428406,0.7858829105363008,3.1289555864485195
persistent_bridge,Q5-U-Joint,47,119,13.252100840336135,0.15875358667853523,0.05899760891309566,1.1491577186864217,0.1262833039217851,0.938740351119963,0.7982851080872009,2.7405235580139515
persistent_bridge,Q5-U-Joint,73,120,10.85,0.13841917282605098,0.05572004350861352,1.1386531930077084,0.13655368951170527,0.9452120785911878,0.7113405901300426,3.38999322551218
