cell,seed,strict_auc_pct,strict_final_pct,legacy_auc_pct,legacy_final_pct,natural_eos_final_pct
CTRL-base,31,70.25,70.25,74.5,74.5,97.5
CTRL-base,47,61.50000000000001,61.5,71.25,71.25,89.5
CTRL-base,73,58.75,58.75,68.75,68.75,92.5
EOS-F001,31,71.975,66.25,73.55000000000001,67.75,99.25
EOS-F001,47,68.46666666666665,60.25,72.74583333333334,62.74999999999999,94.25
EOS-F001,73,73.87916666666666,75.5,77.7875,77.25,99.5
EOS-F111,31,72.87916666666666,69.75,73.94583333333334,70.25,99.0
EOS-F111,47,72.01249999999999,71.0,73.82916666666667,71.75,99.25
EOS-F111,73,69.92083333333332,71.25,72.5,73.25,99.25
EOS-Q4,31,72.98333333333333,69.75,74.28333333333333,70.5,99.25
EOS-Q4,47,71.85000000000001,77.75,76.55000000000001,78.25,99.25
EOS-Q4,73,71.30416666666667,71.75,74.41666666666667,72.75,98.75
EOS-Q5,31,64.425,78.0,77.3125,81.0,93.5
EOS-Q5,47,74.3375,76.25,78.275,79.5,95.75
EOS-Q5,73,73.56250000000001,79.0,78.9,80.25,97.5
NOEOS-F001,31,73.175,67.0,74.8125,72.0,93.25
NOEOS-F001,47,25.512499999999992,0.0,74.27499999999999,70.0,1.0
NOEOS-F001,73,56.71250000000001,17.0,73.92916666666667,73.0,24.5
NOEOS-F111,31,73.86666666666667,70.0,74.93333333333332,71.5,99.0
NOEOS-F111,47,14.262499999999998,0.0,74.22083333333333,71.25,0.0
NOEOS-F111,73,62.4125,43.25,71.44166666666668,72.75,67.0
NOEOS-Q4,31,75.12916666666666,73.0,76.43333333333334,73.5,98.5
NOEOS-Q4,47,20.3625,0.0,75.85416666666667,81.0,0.0
NOEOS-Q4,73,46.079166666666666,6.5,75.72916666666667,76.25,8.0
NOEOS-Q5,31,38.5625,2.0,78.34166666666668,80.0,2.25
NOEOS-Q5,47,23.308333333333334,2.0,79.57083333333334,80.75,2.5
NOEOS-Q5,73,37.60000000000001,5.75,80.15833333333333,81.0,6.5
