contrast,treatment,control,metric,mean_difference_pp,median_difference_pp,ci95_low_pp,ci95_high_pp,positive_seeds
support_measure,PM-Joint,Q5-U-Joint,legacy_auc,0.07499999999998064,0.6166666666666432,-1.0791666666666755,0.6874999999999742,2
support_measure,PM-Joint,Q5-U-Joint,legacy_final,-0.4166666666666689,-0.2500000000000058,-2.0000000000000018,1.0000000000000009,1
support_measure,PM-Joint,Q5-U-Joint,natural_eos_final,-0.5833333333333319,0.5000000000000004,-3.2499999999999973,1.0000000000000009,2
support_measure,PM-Joint,Q5-U-Joint,strict_auc,0.068055555555561,1.3916666666666688,-3.704166666666664,2.516666666666678,2
support_measure,PM-Joint,Q5-U-Joint,strict_final,0.33333333333332993,0.24999999999999467,-0.5000000000000004,1.2499999999999956,2
proposal_correction,PM-ACIS,PM-Joint,legacy_auc,-0.5833333333333284,-0.5666666666666487,-1.1833333333333362,0.0,0
proposal_correction,PM-ACIS,PM-Joint,legacy_final,0.2500000000000021,-0.24999999999999467,-3.500000000000003,4.5000000000000036,1
proposal_correction,PM-ACIS,PM-Joint,natural_eos_final,-2.416666666666671,-2.750000000000008,-4.0000000000000036,-0.5000000000000004,0
proposal_correction,PM-ACIS,PM-Joint,strict_auc,1.6555555555555546,-0.07500000000001394,-2.270833333333333,7.312500000000011,1
proposal_correction,PM-ACIS,PM-Joint,strict_final,-1.5833333333333328,-1.5000000000000013,-7.9999999999999964,4.749999999999998,1
overall_challenger,PM-ACIS,Q5-U-Joint,legacy_auc,-0.5083333333333477,0.04999999999999449,-2.2625000000000117,0.6874999999999742,2
overall_challenger,PM-ACIS,Q5-U-Joint,legacy_final,-0.1666666666666668,0.7500000000000062,-5.500000000000005,4.249999999999998,2
overall_challenger,PM-ACIS,Q5-U-Joint,natural_eos_final,-3.0000000000000027,-1.750000000000007,-7.250000000000001,0.0,0
overall_challenger,PM-ACIS,Q5-U-Joint,strict_auc,1.7236111111111156,1.3166666666666549,0.24583333333334512,3.6083333333333467,3
overall_challenger,PM-ACIS,Q5-U-Joint,strict_final,-1.250000000000003,-0.2500000000000058,-8.499999999999996,4.999999999999993,1
answer_only_mstep,Q5-U-Answer,Q5-U-Joint,legacy_auc,-5.2388888888889005,-5.01250000000002,-6.629166666666664,-4.075000000000017,0
answer_only_mstep,Q5-U-Answer,Q5-U-Joint,legacy_final,-7.083333333333335,-7.250000000000001,-7.750000000000002,-6.25,0
answer_only_mstep,Q5-U-Answer,Q5-U-Joint,natural_eos_final,1.4999999999999978,1.2499999999999956,1.0000000000000009,2.2499999999999964,3
answer_only_mstep,Q5-U-Answer,Q5-U-Joint,strict_auc,-33.14861111111111,-32.52916666666666,-36.56666666666668,-30.349999999999984,0
answer_only_mstep,Q5-U-Answer,Q5-U-Joint,strict_final,-62.5,-68.25,-75.5,-43.75,0
joint_vs_frozen,Q5-U-Joint,CTRL-base,legacy_auc,7.348611111111121,7.795833333333347,4.295833333333343,9.954166666666675,3
joint_vs_frozen,Q5-U-Joint,CTRL-base,legacy_final,9.166666666666668,9.250000000000004,7.750000000000002,10.499999999999998,3
joint_vs_frozen,Q5-U-Joint,CTRL-base,natural_eos_final,3.3333333333333326,3.749999999999998,-1.749999999999996,7.9999999999999964,2
joint_vs_frozen,Q5-U-Joint,CTRL-base,strict_auc,8.033333333333333,12.645833333333345,-2.254166666666668,13.708333333333321,2
joint_vs_frozen,Q5-U-Joint,CTRL-base,strict_final,14.916666666666668,17.500000000000004,8.999999999999996,18.25,3
