cell,seed,strict_auc_pct,strict_final_pct,legacy_auc_pct,legacy_final_pct,natural_eos_final_pct
CTRL-base,31,70.25,70.25,74.5,74.5,97.5
CTRL-base,47,61.5,61.5,71.25,71.25,89.5
CTRL-base,73,58.75,58.75,68.75,68.75,92.5
PM-ACIS,31,71.60416666666669,70.75,76.53333333333333,76.75,88.5
PM-ACIS,47,75.4625,84.0,79.73333333333332,84.75,97.5
PM-ACIS,73,72.70416666666667,76.75,78.75416666666666,80.0,94.5
PM-Joint,31,64.29166666666667,78.75,77.71666666666667,80.25,92.5
PM-Joint,47,75.53750000000001,79.25,79.73333333333332,80.25,98.0
PM-Joint,73,74.97500000000001,78.25,79.32083333333331,80.25,97.25
Q5-U-Answer,31,35.46666666666667,3.75,73.78333333333332,74.5,98.0
Q5-U-Answer,47,37.579166666666666,10.75,74.97083333333333,74.25,98.5
Q5-U-Answer,73,42.10833333333334,33.25,72.07500000000002,72.0,97.5
Q5-U-Joint,31,67.99583333333334,79.25,78.79583333333335,82.25,95.75
Q5-U-Joint,47,74.14583333333334,79.0,79.04583333333335,80.5,97.5
Q5-U-Joint,73,72.45833333333333,77.0,78.70416666666668,79.25,96.25
Q5-U-Rationale,31,40.10416666666667,0.5,78.675,79.5,0.25
Q5-U-Rationale,47,20.320833333333336,0.0,79.125,78.25,0.25
Q5-U-Rationale,73,33.83333333333333,5.5,78.65416666666665,80.25,10.0
