shots,seed,parsed_accuracy_pct,sampled_pass1_pct,sampled_pass8_pct,parse_rate_pct
0,31,4.75,4.375,23.0,100.0
0,47,3.75,5.25,25.0,100.0
0,73,4.75,4.25,21.0,100.0
1,31,37.0,32.625,86.0,100.0
1,47,20.0,19.5,63.0,100.0
1,73,37.25,41.0,89.0,100.0
2,31,67.5,57.75,97.0,100.0
2,47,52.25,42.375,87.0,100.0
2,73,63.0,59.62499999999999,96.0,100.0
3,31,76.25,66.25,96.0,100.0
3,47,71.5,62.625,97.0,100.0
3,73,73.25,69.25,98.0,100.0
4,31,74.5,66.375,98.0,100.0
4,47,71.25,61.25000000000001,97.0,100.0
4,73,68.75,64.0,93.0,100.0
