method,shots,seed,base_parsed_pct,final_parsed_pct,parsed_auc_pct,parsed_auc_gain_pp
GRPO,0,31,4.75,4.5,4.80859375,0.05859375
GRPO,0,47,3.75,5.25,4.8046875,1.0546875
GRPO,0,73,4.75,5.25,4.97265625,0.22265624999999997
GRPO,1,31,37.0,52.25,44.63671875,7.63671875
GRPO,1,47,20.0,39.5,27.171875,7.171875
GRPO,1,73,37.25,54.0,44.546875,7.296875
GRPO,2,31,67.5,71.75,69.171875,1.671875
GRPO,2,47,52.25,65.25,55.57421875000001,3.32421875
GRPO,2,73,63.0,65.5,63.7109375,0.7109375
GRPO,3,31,76.25,76.5,76.62109375,0.37109375
GRPO,3,47,71.5,70.75,72.66796875,1.16796875
GRPO,3,73,73.25,75.0,73.72265625,0.47265625
GRPO,4,31,74.5,77.25,75.8671875,1.3671875
GRPO,4,47,71.25,73.75,72.58203125,1.33203125
GRPO,4,73,68.75,69.5,68.17578125,-0.57421875
L2R-Frozen-NoGold,0,31,4.75,3.5000000000000004,3.4960937499999996,-1.25390625
L2R-Frozen-NoGold,0,47,3.75,28.249999999999996,10.703125,6.953125
L2R-Frozen-NoGold,0,73,4.75,14.75,7.097656250000001,2.34765625
L2R-Frozen-NoGold,1,31,37.0,1.7500000000000002,6.46484375,-30.53515625
L2R-Frozen-NoGold,1,47,20.0,1.0,9.19140625,-10.80859375
L2R-Frozen-NoGold,1,73,37.25,2.0,9.41015625,-27.83984375
L2R-Frozen-NoGold,2,31,67.5,5.25,19.99609375,-47.50390625
L2R-Frozen-NoGold,2,47,52.25,9.0,25.5859375,-26.664062500000004
L2R-Frozen-NoGold,2,73,63.0,11.25,42.0703125,-20.9296875
L2R-Frozen-NoGold,3,31,76.25,72.75,76.8515625,0.6015625
L2R-Frozen-NoGold,3,47,71.5,72.0,72.60546875,1.10546875
L2R-Frozen-NoGold,3,73,73.25,68.75,74.15625,0.9062499999999999
L2R-Frozen-NoGold,4,31,74.5,57.49999999999999,71.16796875,-3.3320312499999996
L2R-Frozen-NoGold,4,47,71.25,19.0,49.5390625,-21.7109375
L2R-Frozen-NoGold,4,73,68.75,66.25,73.43359375,4.68359375
RFT,0,31,4.75,4.75,4.77734375,0.027343750000000003
RFT,0,47,3.75,6.25,5.26953125,1.51953125
RFT,0,73,4.75,4.75,4.64453125,-0.10546875
RFT,1,31,37.0,58.5,48.19921875,11.19921875
RFT,1,47,20.0,59.5,34.80078125,14.80078125
RFT,1,73,37.25,56.25,47.95703125,10.70703125
RFT,2,31,67.5,65.75,67.8359375,0.3359375
RFT,2,47,52.25,58.25,51.61328125,-0.63671875
RFT,2,73,63.0,54.50000000000001,56.86718750000001,-6.1328125
RFT,3,31,76.25,76.0,76.890625,0.640625
RFT,3,47,71.5,72.75,73.13671875,1.6367187500000002
RFT,3,73,73.25,74.25,74.49609375,1.24609375
RFT,4,31,74.5,73.5,74.6328125,0.1328125
RFT,4,47,71.25,74.25,71.73046875,0.48046875
RFT,4,73,68.75,68.25,67.01171875,-1.73828125
RLOO,0,31,4.75,71.75,24.421875,19.671875
RLOO,0,47,3.75,63.0,22.26171875,18.51171875
RLOO,0,73,4.75,61.0,19.5703125,14.8203125
RLOO,1,31,37.0,75.5,65.546875,28.546875
RLOO,1,47,20.0,68.0,59.16796875,39.16796875
RLOO,1,73,37.25,69.75,65.11328125,27.86328125
RLOO,2,31,67.5,81.0,75.921875,8.421875
RLOO,2,47,52.25,80.0,72.05078125,19.80078125
RLOO,2,73,63.0,76.5,74.3125,11.3125
RLOO,3,31,76.25,81.5,79.14453125,2.89453125
RLOO,3,47,71.5,77.25,73.49609375,1.9960937500000002
RLOO,3,73,73.25,80.5,77.984375,4.734375
RLOO,4,31,74.5,80.25,77.64453125,3.1445312500000004
RLOO,4,47,71.25,76.75,74.69921875,3.44921875
RLOO,4,73,68.75,81.5,76.015625,7.265625000000001
