method,shots,n_seeds,base_parsed_pct,final_parsed_pct,parsed_auc_pct,parsed_auc_gain_pp,ci95_low_pp,ci95_high_pp,scope
GRPO,0,3,4.416666666666667,5.0,4.861979166666667,0.44531249999999994,-0.36201171875,1.3047200520833329,prompt_training_screen
GRPO,1,3,31.416666666666668,48.583333333333336,38.78515625,7.368489583333333,5.826790364583333,8.984407552083333,prompt_training_screen
GRPO,2,3,60.916666666666664,67.5,62.81901041666667,1.90234375,0.07939453125000001,3.6979166666666665,prompt_training_screen
GRPO,3,3,73.66666666666667,74.08333333333333,74.33723958333333,0.6705729166666667,-0.5286783854166667,1.8008138020833329,prompt_training_screen
GRPO,4,3,71.5,73.5,72.20833333333333,0.7083333333333334,-0.8984700520833335,2.216145833333333,prompt_training_screen
L2R-Frozen-NoGold,0,3,4.416666666666667,15.499999999999998,7.098958333333334,2.682291666666667,-1.0431315104166665,6.770865885416666,older_frozen_answer_rationale_only_L2R
L2R-Frozen-NoGold,1,3,31.416666666666668,1.5833333333333335,8.35546875,-23.061197916666668,-31.210937499999996,-11.136653645833334,older_frozen_answer_rationale_only_L2R
L2R-Frozen-NoGold,2,3,60.916666666666664,8.5,29.217447916666668,-31.699218749999996,-46.764355468750004,-20.87890625,older_frozen_answer_rationale_only_L2R
L2R-Frozen-NoGold,3,3,73.66666666666667,71.16666666666667,74.53776041666667,0.87109375,-1.0053059895833334,2.720052083333333,older_frozen_answer_rationale_only_L2R
L2R-Frozen-NoGold,4,3,71.5,47.58333333333333,64.71354166666667,-6.786458333333332,-21.289095052083333,4.32685546875,older_frozen_answer_rationale_only_L2R
RFT,0,3,4.416666666666667,5.25,4.897135416666667,0.48046875,-0.5052083333333333,1.6680013020833329,prompt_training_screen
RFT,1,3,31.416666666666668,58.083333333333336,43.65234375,12.235677083333334,9.648404947916667,15.027473958333331,prompt_training_screen
RFT,2,3,60.916666666666664,59.5,58.77213541666667,-2.1445312499999996,-6.036458333333333,0.9114908854166662,prompt_training_screen
RFT,3,3,73.66666666666667,74.33333333333333,74.84114583333333,1.1744791666666665,-0.23958333333333331,2.570345052083333,prompt_training_screen
RFT,4,3,71.5,72.0,71.125,-0.375,-2.278678385416667,1.3190429687499994,prompt_training_screen
RLOO,0,3,4.416666666666667,65.25,22.084635416666668,17.66796875,14.863281250000002,20.059960937499998,prompt_training_screen
RLOO,1,3,31.416666666666668,71.08333333333333,63.276041666666664,31.859375,26.47132161458333,38.72802734375,prompt_training_screen
RLOO,2,3,60.916666666666664,79.16666666666667,74.09505208333333,13.178385416666668,8.10546875,19.347688802083333,prompt_training_screen
RLOO,3,3,73.66666666666667,79.75,76.875,3.208333333333333,1.2421549479166667,5.330729166666667,prompt_training_screen
RLOO,4,3,71.5,79.5,76.11979166666667,4.619791666666667,2.182259114583333,7.4740234375,prompt_training_screen
