supervised,labelled_latent,answer_only_latent,round,accuracy
1,0,0,0,0.7925
1,0,0,2,0.7616666666666667
1,0,0,4,0.7508333333333334
1,0,0,6,0.695
1,0,0,8,0.6675
1,0,0,10,0.6808333333333333
1,0,0,12,0.66
1,0,0,14,0.6191666666666666
1,0,0,16,0.6425
1,0,0,18,0.5766666666666667
1,0,0,20,0.6066666666666666
1,0,0,22,0.6791666666666667
1,0,0,24,0.66
1,0,0,26,0.63
1,0,0,28,0.6349999999999999
1,0,0,30,0.6275
1,1,0,0,0.7925
1,1,0,2,0.7808333333333334
1,1,0,4,0.7633333333333333
1,1,0,6,0.7608333333333333
1,1,0,8,0.7566666666666667
1,1,0,10,0.7425
1,1,0,12,0.7683333333333334
1,1,0,14,0.7191666666666666
1,1,0,16,0.695
1,1,0,18,0.6833333333333332
1,1,0,20,0.6825
1,1,0,22,0.6891666666666666
1,1,0,24,0.6766666666666666
1,1,0,26,0.6891666666666666
1,1,0,28,0.7108333333333333
1,1,0,30,0.69
1,0,1,0,0.7925
1,0,1,2,0.7775
1,0,1,4,0.7666666666666666
1,0,1,6,0.7425
1,0,1,8,0.7366666666666667
1,0,1,10,0.7533333333333333
1,0,1,12,0.7433333333333333
1,0,1,14,0.7316666666666666
1,0,1,16,0.6666666666666666
1,0,1,18,0.68
1,0,1,20,0.6858333333333334
1,0,1,22,0.7016666666666667
1,0,1,24,0.6816666666666666
1,0,1,26,0.6983333333333333
1,0,1,28,0.7016666666666667
1,0,1,30,0.7075
1,1,1,0,0.7925
1,1,1,2,0.7883333333333334
1,1,1,4,0.7791666666666667
1,1,1,6,0.7641666666666667
1,1,1,8,0.7508333333333334
1,1,1,10,0.7625000000000001
1,1,1,12,0.7241666666666666
1,1,1,14,0.7058333333333334
1,1,1,16,0.7000000000000001
1,1,1,18,0.7174999999999999
1,1,1,20,0.7183333333333333
1,1,1,22,0.7374999999999999
1,1,1,24,0.7075
1,1,1,26,0.7133333333333334
1,1,1,28,0.7200000000000001
1,1,1,30,0.7400000000000001
