rounds,seed,question_index,effect
10,31,5,-0.5
10,31,21,0.0
10,31,27,0.0
10,31,67,0.0
10,31,71,0.0
10,31,122,0.75
10,31,133,0.0
10,31,163,0.0
10,31,164,0.0
10,31,172,0.0
10,31,177,0.0
10,31,185,0.0
10,31,189,0.0
10,31,195,0.0
10,31,220,0.25
10,31,241,0.0
10,31,260,0.0
10,31,264,0.0
10,31,272,0.0
10,31,295,0.0
10,31,355,0.25
10,31,376,0.0
10,31,407,0.0
10,31,431,-0.75
10,31,450,0.0
10,31,468,-0.5
10,31,484,0.0
10,31,487,0.0
10,31,511,0.0
10,31,518,0.0
10,31,525,0.0
10,31,529,0.0
10,31,552,0.0
10,31,560,0.0
10,31,594,-0.75
10,31,612,0.0
10,31,620,0.0
10,31,646,0.0
10,31,648,0.25
10,31,656,0.0
10,31,665,0.0
10,31,669,0.0
10,31,676,0.0
10,31,695,-0.5
10,31,701,0.0
10,31,715,0.0
10,31,725,0.0
10,31,726,0.0
10,31,745,0.75
10,31,751,-0.5
10,31,773,0.0
10,31,802,0.0
10,31,803,0.0
10,31,892,0.0
10,31,918,0.0
10,31,931,0.0
10,31,973,0.0
10,31,989,0.0
10,31,1022,0.0
10,31,1023,0.0
10,31,1034,0.0
10,31,1064,0.75
10,31,1072,0.0
10,31,1088,0.0
10,31,1095,0.0
10,31,1097,0.0
10,31,1099,0.0
10,31,1123,-0.25
10,31,1147,0.0
10,31,1157,0.0
10,31,1170,0.0
10,31,1190,0.0
10,31,1206,0.0
10,31,1219,0.0
10,31,1249,0.75
10,31,1288,0.0
10,31,1310,-0.25
10,31,1331,0.0
10,31,1353,0.0
10,31,1354,0.0
10,31,1356,0.0
10,31,1358,-0.5
10,31,1379,0.0
10,31,1396,0.25
10,31,1402,0.0
10,31,1424,-0.75
10,31,1469,0.5
10,31,1476,0.0
10,31,1499,0.5
10,31,1525,0.0
10,31,1548,0.0
10,31,1564,0.0
10,31,1577,0.0
10,31,1609,0.0
10,31,1622,-0.5
10,31,1662,0.0
10,31,1681,0.75
10,31,1684,0.0
10,31,1689,0.0
10,31,1746,0.0
10,31,1779,0.0
10,31,1784,0.0
10,31,1794,0.0
10,31,1839,0.0
10,31,1859,0.0
10,31,1883,0.0
10,31,1885,0.0
10,31,1980,0.0
10,31,1987,0.0
10,31,2019,0.0
10,31,2065,0.0
10,31,2088,0.0
10,31,2096,0.0
10,31,2193,0.0
10,31,2227,0.0
10,31,2243,0.0
10,31,2248,0.0
10,31,2259,0.0
10,31,2289,-0.5
10,31,2295,0.0
10,31,2335,0.0
10,31,2340,0.5
10,31,2398,0.0
10,31,2400,0.0
10,31,2432,0.0
10,31,2438,0.0
10,31,2445,0.0
10,31,2484,0.0
10,31,2555,0.0
10,31,2578,0.0
10,31,2598,0.0
10,31,2600,0.0
10,31,2611,0.5
10,31,2666,0.75
10,31,2672,0.0
10,31,2679,0.0
10,31,2693,0.0
10,31,2716,0.0
10,31,2753,0.0
10,31,2760,0.75
10,31,2771,0.0
10,31,2787,0.0
10,31,2789,0.0
10,31,2798,0.5
10,31,2813,0.0
10,31,2824,0.75
10,31,2859,0.0
10,31,2894,0.0
10,31,2917,0.0
10,31,2942,0.0
