seed,round,generations,accuracy
31,0,0,0.745
31,5,320,0.755
31,10,640,0.785
31,15,960,0.765
31,20,1280,0.71
31,30,1920,0.7425
47,0,0,0.7125
47,5,320,0.735
47,10,640,0.7325
47,15,960,0.79
47,20,1280,0.79
47,30,1920,0.7725
73,0,0,0.6875
73,5,320,0.755
73,10,640,0.6625
73,15,960,0.6875
73,20,1280,0.68
73,30,1920,0.7075
101,0,0,0.735
101,5,320,0.785
101,10,640,0.8
101,15,960,0.7475
101,20,1280,0.77
101,30,1920,0.765
127,0,0,0.765
127,5,320,0.8025
127,10,640,0.79
127,15,960,0.7975
127,20,1280,0.8
127,30,1920,0.7725
