run_id,snapshot_last_task,evidence_status,official_test_used,cell,task_ids,method_family,trainer_method,S,B,U,planned_rollouts,n_seeds,seeds,mean_extracted_auc,mean_extracted_final,mean_strict_auc,mean_strict_final,mean_natural_eos_final,mean_pass8_final,mean_late_peak_drop_pp,mean_accelerator_hours,seed31_extracted_auc,seed31_extracted_final,seed31_strict_auc,seed31_strict_final,seed31_pass8_final,seed47_extracted_auc,seed47_extracted_final,seed47_strict_auc,seed47_strict_final,seed47_pass8_final,seed73_extracted_auc,seed73_extracted_final,seed73_strict_auc,seed73_strict_final,seed73_pass8_final,se_extracted_auc,mean_extracted_auc_delta_pp,mean_final_extracted_delta_pp,mean_pass8_delta_pp,positive_auc_seeds,passes_all_gates
f31c2a6e,489,validated_complete_three_seed_cell,False,CTRL-base,1|2|3,base,base,,,,0,3,31|47|73,0.7366666667,0.7366666667,0.6516666667,0.6516666667,0.9608333333,0.9433333333,0,0.1089814815,0.7625,0.7625,0.7325,0.7325,0.95,0.715,0.715,0.645,0.645,0.92,0.7325,0.7325,0.5775,0.5775,0.96,0.01386943081,0,0,0,0,
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B4-U1,4|5|6,VIN,AC-ALG1,8,4,1,1024,3,31|47|73,0.7531119792,0.7675,0.7023828125,0.7525,0.9766666667,0.9533333333,0,0.4550740741,0.7698046875,0.7775,0.749453125,0.77,0.93,0.7271875,0.7425,0.6758984375,0.7175,0.96,0.76234375,0.7825,0.681796875,0.77,0.97,0.01313995639,1.64453125,3.083333333,1,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B4-U2,7|8|9,VIN,AC-ALG1,8,4,2,1024,3,31|47|73,0.7645052083,0.7716666667,0.7277213542,0.7625,0.9908333333,0.9533333333,1.833333333,0.4772222222,0.758203125,0.7275,0.74359375,0.7225,0.95,0.7393359375,0.75,0.7050390625,0.7375,0.96,0.7959765625,0.8375,0.73453125,0.8275,0.95,0.01665159943,2.783854167,3.5,1,2,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B4-U4,10|11|12,VIN,AC-ALG1,8,4,4,1024,3,31|47|73,0.7453125,0.6725,0.7216015625,0.6675,0.9925,0.85,11.08333333,0.4915,0.7162890625,0.6275,0.7037890625,0.6225,0.85,0.7113671875,0.5775,0.6871875,0.575,0.74,0.80828125,0.8125,0.773828125,0.805,0.96,0.03151641805,0.8645833333,-6.416666667,-9.333333333,1,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B8-U1,13|14|15,VIN,AC-ALG1,8,8,1,2048,3,31|47|73,0.7604166667,0.7741666667,0.7170703125,0.7558333333,0.9783333333,0.97,0.6666666667,0.5578888889,0.770078125,0.7775,0.7481640625,0.765,0.96,0.7308984375,0.74,0.686484375,0.715,0.97,0.7802734375,0.805,0.7165625,0.7875,0.98,0.01504970087,2.375,3.75,2.666666667,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B8-U2,16|17|18,VIN,AC-ALG1,8,8,2,2048,3,31|47|73,0.7559375,0.7541666667,0.72921875,0.745,0.995,0.9433333333,1.916666667,0.6059444444,0.758984375,0.735,0.74171875,0.725,0.92,0.7373828125,0.7425,0.709453125,0.73,0.96,0.7714453125,0.785,0.736484375,0.78,0.95,0.009950310917,1.927083333,1.75,0,2,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B8-U4,19|20|21,VIN,AC-ALG1,8,8,4,2048,3,31|47|73,0.7305338542,0.6525,0.7123046875,0.6441666667,0.9925,0.8266666667,12.58333333,0.7742037037,0.69421875,0.625,0.68453125,0.6175,0.82,0.7325,0.66,0.714375,0.6575,0.81,0.7648828125,0.6725,0.7380078125,0.6575,0.85,0.02042263229,-0.61328125,-8.416666667,-11.66666667,2,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B16-U1,22|23|24,VIN,AC-ALG1,8,16,1,4096,3,31|47|73,0.7552864583,0.7675,0.7182942708,0.7566666667,0.9783333333,0.9666666667,0.6666666667,0.8174722222,0.769765625,0.765,0.7511328125,0.76,0.95,0.7258984375,0.755,0.68609375,0.7375,0.97,0.7701953125,0.7825,0.71765625,0.7725,0.98,0.01469453395,1.861979167,3.083333333,2.333333333,3,True
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B16-U2,25|26|27,VIN,AC-ALG1,8,16,2,4096,3,31|47|73,0.7574348958,0.7366666667,0.7323307292,0.7316666667,0.9891666667,0.9366666667,3.5,0.8305555556,0.771328125,0.7775,0.7529296875,0.77,0.97,0.7291796875,0.6925,0.7023046875,0.6875,0.89,0.771796875,0.74,0.7417578125,0.7375,0.95,0.01412825219,2.076822917,0,-0.6666666667,3,False
f31c2a6e,489,validated_complete_three_seed_cell,False,VIN-S8-B16-U4,28|29|30,VIN,AC-ALG1,8,16,4,4096,3,31|47|73,0.7156510417,0.6716666667,0.700234375,0.665,0.9958333333,0.86,8.5,1.018935185,0.688828125,0.6475,0.678671875,0.6425,0.85,0.7126953125,0.65,0.6956640625,0.645,0.88,0.7454296875,0.7175,0.7263671875,0.7075,0.85,0.01640616216,-2.1015625,-6.5,-8.333333333,1,False
