dataset,role,algorithm,seed,questions,category,extracted_correct,natural_eos,token_limit,count
svamp,frozen_base,base,1201,1000,strict_correct,0,0,0,0
svamp,frozen_base,base,1201,1000,strict_correct,0,0,1,0
svamp,frozen_base,base,1201,1000,strict_correct,0,1,0,0
svamp,frozen_base,base,1201,1000,strict_correct,0,1,1,0
svamp,frozen_base,base,1201,1000,strict_correct,1,0,0,0
svamp,frozen_base,base,1201,1000,strict_correct,1,0,1,0
svamp,frozen_base,base,1201,1000,strict_correct,1,1,0,569
svamp,frozen_base,base,1201,1000,strict_correct,1,1,1,0
svamp,frozen_base,base,1201,1000,strict_valid_wrong,0,0,0,0
svamp,frozen_base,base,1201,1000,strict_valid_wrong,0,0,1,0
svamp,frozen_base,base,1201,1000,strict_valid_wrong,0,1,0,173
svamp,frozen_base,base,1201,1000,strict_valid_wrong,0,1,1,0
svamp,frozen_base,base,1201,1000,strict_valid_wrong,1,0,0,0
svamp,frozen_base,base,1201,1000,strict_valid_wrong,1,0,1,0
svamp,frozen_base,base,1201,1000,strict_valid_wrong,1,1,0,0
svamp,frozen_base,base,1201,1000,strict_valid_wrong,1,1,1,0
svamp,frozen_base,base,1201,1000,missing_marker,0,0,0,0
svamp,frozen_base,base,1201,1000,missing_marker,0,0,1,8
svamp,frozen_base,base,1201,1000,missing_marker,0,1,0,48
svamp,frozen_base,base,1201,1000,missing_marker,0,1,1,0
svamp,frozen_base,base,1201,1000,missing_marker,1,0,0,0
svamp,frozen_base,base,1201,1000,missing_marker,1,0,1,0
svamp,frozen_base,base,1201,1000,missing_marker,1,1,0,194
svamp,frozen_base,base,1201,1000,missing_marker,1,1,1,0
svamp,frozen_base,base,1201,1000,multiple_markers,0,0,0,0
svamp,frozen_base,base,1201,1000,multiple_markers,0,0,1,0
svamp,frozen_base,base,1201,1000,multiple_markers,0,1,0,0
svamp,frozen_base,base,1201,1000,multiple_markers,0,1,1,0
svamp,frozen_base,base,1201,1000,multiple_markers,1,0,0,0
svamp,frozen_base,base,1201,1000,multiple_markers,1,0,1,0
svamp,frozen_base,base,1201,1000,multiple_markers,1,1,0,0
svamp,frozen_base,base,1201,1000,multiple_markers,1,1,1,0
svamp,frozen_base,base,1201,1000,one_invalid_or_nonterminal_marker,0,0,0,0
svamp,frozen_base,base,1201,1000,one_invalid_or_nonterminal_marker,0,0,1,1
svamp,frozen_base,base,1201,1000,one_invalid_or_nonterminal_marker,0,1,0,6
svamp,frozen_base,base,1201,1000,one_invalid_or_nonterminal_marker,0,1,1,0
svamp,frozen_base,base,1201,1000,one_invalid_or_nonterminal_marker,1,0,0,0
svamp,frozen_base,base,1201,1000,one_invalid_or_nonterminal_marker,1,0,1,0
svamp,frozen_base,base,1201,1000,one_invalid_or_nonterminal_marker,1,1,0,1
svamp,frozen_base,base,1201,1000,one_invalid_or_nonterminal_marker,1,1,1,0
svamp,frozen_base,base,1213,1000,strict_correct,0,0,0,0
svamp,frozen_base,base,1213,1000,strict_correct,0,0,1,0
svamp,frozen_base,base,1213,1000,strict_correct,0,1,0,0
svamp,frozen_base,base,1213,1000,strict_correct,0,1,1,0
svamp,frozen_base,base,1213,1000,strict_correct,1,0,0,0
svamp,frozen_base,base,1213,1000,strict_correct,1,0,1,0
svamp,frozen_base,base,1213,1000,strict_correct,1,1,0,736
svamp,frozen_base,base,1213,1000,strict_correct,1,1,1,0
svamp,frozen_base,base,1213,1000,strict_valid_wrong,0,0,0,0
svamp,frozen_base,base,1213,1000,strict_valid_wrong,0,0,1,0
svamp,frozen_base,base,1213,1000,strict_valid_wrong,0,1,0,209
svamp,frozen_base,base,1213,1000,strict_valid_wrong,0,1,1,0
svamp,frozen_base,base,1213,1000,strict_valid_wrong,1,0,0,0
svamp,frozen_base,base,1213,1000,strict_valid_wrong,1,0,1,0
svamp,frozen_base,base,1213,1000,strict_valid_wrong,1,1,0,0
svamp,frozen_base,base,1213,1000,strict_valid_wrong,1,1,1,0
svamp,frozen_base,base,1213,1000,missing_marker,0,0,0,0
svamp,frozen_base,base,1213,1000,missing_marker,0,0,1,5
svamp,frozen_base,base,1213,1000,missing_marker,0,1,0,8
svamp,frozen_base,base,1213,1000,missing_marker,0,1,1,0
svamp,frozen_base,base,1213,1000,missing_marker,1,0,0,0
svamp,frozen_base,base,1213,1000,missing_marker,1,0,1,0
svamp,frozen_base,base,1213,1000,missing_marker,1,1,0,15
svamp,frozen_base,base,1213,1000,missing_marker,1,1,1,0
svamp,frozen_base,base,1213,1000,multiple_markers,0,0,0,0
svamp,frozen_base,base,1213,1000,multiple_markers,0,0,1,0
svamp,frozen_base,base,1213,1000,multiple_markers,0,1,0,0
svamp,frozen_base,base,1213,1000,multiple_markers,0,1,1,0
svamp,frozen_base,base,1213,1000,multiple_markers,1,0,0,0
svamp,frozen_base,base,1213,1000,multiple_markers,1,0,1,0
svamp,frozen_base,base,1213,1000,multiple_markers,1,1,0,0
svamp,frozen_base,base,1213,1000,multiple_markers,1,1,1,0
svamp,frozen_base,base,1213,1000,one_invalid_or_nonterminal_marker,0,0,0,0
svamp,frozen_base,base,1213,1000,one_invalid_or_nonterminal_marker,0,0,1,0
svamp,frozen_base,base,1213,1000,one_invalid_or_nonterminal_marker,0,1,0,26
svamp,frozen_base,base,1213,1000,one_invalid_or_nonterminal_marker,0,1,1,0
svamp,frozen_base,base,1213,1000,one_invalid_or_nonterminal_marker,1,0,0,0
svamp,frozen_base,base,1213,1000,one_invalid_or_nonterminal_marker,1,0,1,0
svamp,frozen_base,base,1213,1000,one_invalid_or_nonterminal_marker,1,1,0,1
svamp,frozen_base,base,1213,1000,one_invalid_or_nonterminal_marker,1,1,1,0
svamp,frozen_base,base,1217,1000,strict_correct,0,0,0,0
svamp,frozen_base,base,1217,1000,strict_correct,0,0,1,0
svamp,frozen_base,base,1217,1000,strict_correct,0,1,0,0
svamp,frozen_base,base,1217,1000,strict_correct,0,1,1,0
svamp,frozen_base,base,1217,1000,strict_correct,1,0,0,0
svamp,frozen_base,base,1217,1000,strict_correct,1,0,1,0
svamp,frozen_base,base,1217,1000,strict_correct,1,1,0,473
svamp,frozen_base,base,1217,1000,strict_correct,1,1,1,0
svamp,frozen_base,base,1217,1000,strict_valid_wrong,0,0,0,0
svamp,frozen_base,base,1217,1000,strict_valid_wrong,0,0,1,0
svamp,frozen_base,base,1217,1000,strict_valid_wrong,0,1,0,116
svamp,frozen_base,base,1217,1000,strict_valid_wrong,0,1,1,0
svamp,frozen_base,base,1217,1000,strict_valid_wrong,1,0,0,0
svamp,frozen_base,base,1217,1000,strict_valid_wrong,1,0,1,0
svamp,frozen_base,base,1217,1000,strict_valid_wrong,1,1,0,0
svamp,frozen_base,base,1217,1000,strict_valid_wrong,1,1,1,0
svamp,frozen_base,base,1217,1000,missing_marker,0,0,0,0
svamp,frozen_base,base,1217,1000,missing_marker,0,0,1,16
svamp,frozen_base,base,1217,1000,missing_marker,0,1,0,82
svamp,frozen_base,base,1217,1000,missing_marker,0,1,1,0
svamp,frozen_base,base,1217,1000,missing_marker,1,0,0,0
svamp,frozen_base,base,1217,1000,missing_marker,1,0,1,2
svamp,frozen_base,base,1217,1000,missing_marker,1,1,0,292
svamp,frozen_base,base,1217,1000,missing_marker,1,1,1,0
svamp,frozen_base,base,1217,1000,multiple_markers,0,0,0,0
svamp,frozen_base,base,1217,1000,multiple_markers,0,0,1,0
svamp,frozen_base,base,1217,1000,multiple_markers,0,1,0,1
svamp,frozen_base,base,1217,1000,multiple_markers,0,1,1,0
svamp,frozen_base,base,1217,1000,multiple_markers,1,0,0,0
svamp,frozen_base,base,1217,1000,multiple_markers,1,0,1,0
svamp,frozen_base,base,1217,1000,multiple_markers,1,1,0,0
svamp,frozen_base,base,1217,1000,multiple_markers,1,1,1,0
svamp,frozen_base,base,1217,1000,one_invalid_or_nonterminal_marker,0,0,0,0
svamp,frozen_base,base,1217,1000,one_invalid_or_nonterminal_marker,0,0,1,1
svamp,frozen_base,base,1217,1000,one_invalid_or_nonterminal_marker,0,1,0,12
svamp,frozen_base,base,1217,1000,one_invalid_or_nonterminal_marker,0,1,1,0
svamp,frozen_base,base,1217,1000,one_invalid_or_nonterminal_marker,1,0,0,0
svamp,frozen_base,base,1217,1000,one_invalid_or_nonterminal_marker,1,0,1,2
svamp,frozen_base,base,1217,1000,one_invalid_or_nonterminal_marker,1,1,0,3
svamp,frozen_base,base,1217,1000,one_invalid_or_nonterminal_marker,1,1,1,0
svamp,frozen_base,base,1223,1000,strict_correct,0,0,0,0
svamp,frozen_base,base,1223,1000,strict_correct,0,0,1,0
svamp,frozen_base,base,1223,1000,strict_correct,0,1,0,0
svamp,frozen_base,base,1223,1000,strict_correct,0,1,1,0
svamp,frozen_base,base,1223,1000,strict_correct,1,0,0,0
svamp,frozen_base,base,1223,1000,strict_correct,1,0,1,0
svamp,frozen_base,base,1223,1000,strict_correct,1,1,0,637
svamp,frozen_base,base,1223,1000,strict_correct,1,1,1,0
svamp,frozen_base,base,1223,1000,strict_valid_wrong,0,0,0,0
svamp,frozen_base,base,1223,1000,strict_valid_wrong,0,0,1,0
svamp,frozen_base,base,1223,1000,strict_valid_wrong,0,1,0,180
svamp,frozen_base,base,1223,1000,strict_valid_wrong,0,1,1,0
svamp,frozen_base,base,1223,1000,strict_valid_wrong,1,0,0,0
svamp,frozen_base,base,1223,1000,strict_valid_wrong,1,0,1,0
svamp,frozen_base,base,1223,1000,strict_valid_wrong,1,1,0,0
svamp,frozen_base,base,1223,1000,strict_valid_wrong,1,1,1,0
svamp,frozen_base,base,1223,1000,missing_marker,0,0,0,0
svamp,frozen_base,base,1223,1000,missing_marker,0,0,1,4
svamp,frozen_base,base,1223,1000,missing_marker,0,1,0,47
