dataset,role,algorithm,seed,questions,base_gap_count,trained_gap_count,base_gap_pp,trained_gap_pp,gap_change_pp,extracted_accuracy_change_pp,strict_accuracy_change_pp,trained_gap_missing_marker_count,trained_gap_multiple_markers_count,trained_gap_one_invalid_or_nonterminal_marker_count,trained_gap_natural_eos_count,trained_gap_token_limit_count
math_500,non_rl_self_training,TRICE,1201,500,62,5,12.4,1.0,-11.4,10.000000000000004,21.400000000000002,4,0,1,5,0
math_500,non_rl_self_training,TRICE,1213,500,37,29,7.3999999999999995,5.800000000000001,-1.5999999999999994,7.800000000000002,9.399999999999997,29,0,0,29,0
math_500,non_rl_self_training,TRICE,1217,500,84,1,16.8,0.2,-16.6,10.999999999999998,27.599999999999998,0,0,1,0,1
math_500,non_rl_self_training,TRICE,1223,500,63,0,12.6,0.0,-12.6,10.600000000000003,23.200000000000003,0,0,0,0,0
math_500,non_rl_self_training,TRICE,1229,500,72,1,14.399999999999999,0.2,-14.2,20.0,34.199999999999996,1,0,0,1,0
math_500,non_rl_self_training,TRICE,1231,500,65,3,13.0,0.6,-12.4,13.799999999999995,26.200000000000003,3,0,0,3,0
math_500,non_rl_self_training,TRICE,1237,500,68,1,13.600000000000001,0.2,-13.4,6.800000000000001,20.2,1,0,0,1,0
math_500,posterior,AC-ALG1,1201,500,62,37,12.4,7.3999999999999995,-5.0,5.199999999999999,10.200000000000003,37,0,0,37,0
math_500,posterior,AC-ALG1,1213,500,37,31,7.3999999999999995,6.2,-1.1999999999999997,-5.8,-4.600000000000001,31,0,0,31,0
math_500,posterior,AC-ALG1,1217,500,84,30,16.8,6.0,-10.8,6.4,17.2,30,0,0,30,0
math_500,posterior,AC-ALG1,1223,500,63,23,12.6,4.6,-8.0,-3.3999999999999977,4.600000000000001,23,0,0,23,0
math_500,posterior,AC-ALG1,1229,500,72,44,14.399999999999999,8.799999999999999,-5.6,11.800000000000002,17.4,44,0,0,44,0
math_500,posterior,AC-ALG1,1231,500,65,40,13.0,8.0,-5.0,4.999999999999999,10.0,40,0,0,40,0
math_500,posterior,AC-ALG1,1237,500,68,27,13.600000000000001,5.4,-8.200000000000001,-3.9999999999999982,4.200000000000001,27,0,0,27,0
math_500,rl,RLOO,1201,500,62,35,12.4,7.000000000000001,-5.3999999999999995,10.800000000000004,16.200000000000003,35,0,0,35,0
math_500,rl,RLOO,1213,500,37,25,7.3999999999999995,5.0,-2.3999999999999995,4.799999999999999,7.200000000000001,25,0,0,25,0
math_500,rl,RLOO,1217,500,84,21,16.8,4.2,-12.6,10.600000000000003,23.2,21,0,0,20,1
math_500,rl,RLOO,1223,500,63,18,12.6,3.5999999999999996,-9.0,10.800000000000004,19.8,18,0,0,18,0
math_500,rl,RLOO,1229,500,72,10,14.399999999999999,2.0,-12.399999999999999,18.200000000000003,30.599999999999998,10,0,0,10,0
math_500,rl,RLOO,1231,500,65,31,13.0,6.2,-6.800000000000001,10.599999999999998,17.400000000000002,31,0,0,31,0
math_500,rl,RLOO,1237,500,68,23,13.600000000000001,4.6,-9.000000000000002,6.2000000000000055,15.2,23,0,0,23,0
svamp,non_rl_self_training,TRICE,1201,1000,195,0,19.5,0.0,-19.5,2.500000000000002,22.000000000000007,0,0,0,0,0
svamp,non_rl_self_training,TRICE,1213,1000,16,1,1.6,0.1,-1.5,5.800000000000005,7.300000000000006,1,0,0,0,1
svamp,non_rl_self_training,TRICE,1217,1000,299,0,29.9,0.0,-29.9,-0.6000000000000005,29.300000000000004,0,0,0,0,0
svamp,non_rl_self_training,TRICE,1223,1000,118,0,11.799999999999999,0.0,-11.799999999999999,3.200000000000003,15.000000000000002,0,0,0,0,0
svamp,non_rl_self_training,TRICE,1229,1000,451,0,45.1,0.0,-45.1,8.500000000000007,53.6,0,0,0,0,0
svamp,non_rl_self_training,TRICE,1231,1000,367,2,36.7,0.2,-36.5,1.5000000000000013,38.00000000000001,0,0,2,2,0
svamp,non_rl_self_training,TRICE,1237,1000,73,0,7.3,0.0,-7.3,-2.0000000000000018,5.300000000000004,0,0,0,0,0
svamp,posterior,AC-ALG1,1201,1000,195,109,19.5,10.9,-8.600000000000001,6.399999999999995,15.000000000000002,108,0,1,108,1
svamp,posterior,AC-ALG1,1213,1000,16,479,1.6,47.9,46.3,6.799999999999995,-39.49999999999999,477,0,2,478,1
