dataset,role,algorithm,cell_id,seed,questions,final_extracted_answer_accuracy,final_strict_terminal_accuracy,natural_eos_rate,token_limit_rate,gap_count,gap_fraction,gap_natural_eos_count,gap_token_limit_count,strict_correct_count,gap_strict_correct_count,strict_valid_wrong_count,gap_strict_valid_wrong_count,missing_marker_count,gap_missing_marker_count,multiple_markers_count,gap_multiple_markers_count,one_invalid_or_nonterminal_marker_count,gap_one_invalid_or_nonterminal_marker_count
math_500,frozen_base,base,CTRL-base,1201,500,0.296,0.172,0.808,0.192,62,0.124,62,0,86,0,91,0,322,62,0,0,1,0
math_500,frozen_base,base,CTRL-base,1213,500,0.328,0.254,0.824,0.176,37,0.074,37,0,127,0,153,0,218,37,1,0,1,0
math_500,frozen_base,base,CTRL-base,1217,500,0.3,0.132,0.794,0.206,84,0.168,84,0,66,0,78,0,352,84,4,0,0,0
math_500,frozen_base,base,CTRL-base,1223,500,0.298,0.172,0.798,0.202,63,0.126,63,0,86,0,95,0,318,63,1,0,0,0
math_500,frozen_base,base,CTRL-base,1229,500,0.224,0.08,0.814,0.186,72,0.144,72,0,40,0,59,0,400,72,1,0,0,0
math_500,frozen_base,base,CTRL-base,1231,500,0.278,0.148,0.776,0.224,65,0.13,65,0,74,0,67,0,356,65,1,0,2,0
math_500,frozen_base,base,CTRL-base,1237,500,0.344,0.208,0.794,0.206,68,0.136,68,0,104,0,120,0,260,65,9,2,7,1
math_500,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1201,500,0.396,0.386,0.86,0.14,5,0.01,5,0,193,0,216,0,89,4,0,0,2,1
math_500,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1213,500,0.406,0.348,0.878,0.122,29,0.058,29,0,174,0,183,0,140,29,0,0,3,0
math_500,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1217,500,0.41,0.408,0.794,0.206,1,0.002,0,1,204,0,193,0,101,0,1,0,1,1
math_500,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1223,500,0.404,0.404,0.852,0.148,0,0.0,0,0,202,0,226,0,72,0,0,0,0,0
math_500,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1229,500,0.424,0.422,0.812,0.188,1,0.002,1,0,211,0,195,0,93,1,0,0,1,0
math_500,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1231,500,0.416,0.41,0.79,0.21,3,0.006,3,0,205,0,186,0,109,3,0,0,0,0
math_500,non_rl_self_training,TRICE,TRICE-LR1e-4-CV,1237,500,0.412,0.41,0.82,0.18,1,0.002,1,0,205,0,202,0,93,1,0,0,0,0
math_500,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1201,500,0.348,0.274,0.774,0.226,37,0.074,37,0,137,0,121,0,242,37,0,0,0,0
math_500,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1213,500,0.27,0.208,0.77,0.23,31,0.062,31,0,104,0,97,0,298,31,0,0,1,0
math_500,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1217,500,0.364,0.304,0.784,0.216,30,0.06,30,0,152,0,131,0,216,30,0,0,1,0
math_500,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1223,500,0.264,0.218,0.756,0.244,23,0.046,23,0,109,0,92,0,297,23,2,0,0,0
math_500,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1229,500,0.342,0.254,0.78,0.22,44,0.088,44,0,127,0,100,0,273,44,0,0,0,0
math_500,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1231,500,0.328,0.248,0.764,0.236,40,0.08,40,0,124,0,115,0,258,40,0,0,3,0
math_500,posterior,AC-ALG1,Q5-LR1e-5-U1-K16,1237,500,0.304,0.25,0.754,0.246,27,0.054,27,0,125,0,101,0,274,27,0,0,0,0
math_500,rl,RLOO,RLOO-S16-B8-U4,1201,500,0.404,0.334,0.858,0.142,35,0.07,35,0,167,0,184,0,148,35,0,0,1,0
math_500,rl,RLOO,RLOO-S16-B8-U4,1213,500,0.376,0.326,0.91,0.09,25,0.05,25,0,163,0,210,0,126,25,0,0,1,0
math_500,rl,RLOO,RLOO-S16-B8-U4,1217,500,0.406,0.364,0.816,0.184,21,0.042,20,1,182,0,177,0,139,21,0,0,2,0
math_500,rl,RLOO,RLOO-S16-B8-U4,1223,500,0.406,0.37,0.81,0.19,18,0.036,18,0,185,0,171,0,143,18,0,0,1,0
math_500,rl,RLOO,RLOO-S16-B8-U4,1229,500,0.406,0.386,0.84,0.16,10,0.02,10,0,193,0,203,0,103,10,0,0,1,0
math_500,rl,RLOO,RLOO-S16-B8-U4,1231,500,0.384,0.322,0.838,0.162,31,0.062,31,0,161,0,184,0,153,31,0,0,2,0
math_500,rl,RLOO,RLOO-S16-B8-U4,1237,500,0.406,0.36,0.816,0.184,23,0.046,23,0,180,0,169,0,148,23,0,0,3,0
svamp,frozen_base,base,CTRL-base,1201,1000,0.764,0.569,0.991,0.009,195,0.195,195,0,569,0,173,0,250,194,0,0,8,1
svamp,frozen_base,base,CTRL-base,1213,1000,0.752,0.736,0.995,0.005,16,0.016,16,0,736,0,209,0,28,15,0,0,27,1
svamp,frozen_base,base,CTRL-base,1217,1000,0.772,0.473,0.979,0.021,299,0.299,295,4,473,0,116,0,392,294,1,0,18,5
