seed,round_zero_based,observed_update_one_based,status,Q_before,Q_after_observed_before_next_update,Q_change,classification,active_questions,active_traces
31,0,1,eligible,-28.913391677411454,-28.927398061993593,-0.014006384582138764,negative,8,59
31,0,2,eligible,-28.927398061993593,-28.787672609991734,0.13972545200185849,positive,8,59
31,0,3,eligible,-28.787672609991734,-28.697593752688753,0.09007885730298071,positive,8,59
31,1,1,eligible,-42.17858793960129,-41.92638048160663,0.2522074579946647,positive,8,52
31,1,2,eligible,-41.92638048160663,-41.69368441032269,0.23269607128393943,positive,8,52
31,1,3,eligible,-41.69368441032269,-41.669681277273845,0.024003133048843495,positive,8,52
31,2,1,eligible,-25.819956748346712,-25.859526863549032,-0.03957011520232001,negative,8,50
31,2,2,eligible,-25.859526863549032,-25.8733869508192,-0.013860087270167298,negative,8,50
31,2,3,eligible,-25.8733869508192,-25.569517526275654,0.3038694245435458,positive,8,50
31,3,1,eligible,-17.989495688978906,-17.94924309288128,0.04025259609762699,positive,8,57
31,3,2,eligible,-17.94924309288128,-17.918936958130278,0.030306134751000968,positive,8,57
31,3,3,eligible,-17.918936958130278,-17.98369752478427,-0.06476056665399099,negative,8,57
31,4,1,eligible,-33.33199315058387,-33.21192643978403,0.12006671079983988,positive,8,47
31,4,2,eligible,-33.21192643978403,-33.05039506474232,0.16153137504171156,positive,8,47
31,4,3,eligible,-33.05039506474232,-33.0404965582959,0.009898506446418764,positive,8,47
31,5,1,eligible,-36.37766099900992,-36.20320116292186,0.1744598360880616,positive,8,55
31,5,2,eligible,-36.20320116292186,-36.34239819703214,-0.13919703411028195,negative,8,55
31,5,3,eligible,-36.34239819703214,-35.942694327710484,0.39970386932165525,positive,8,55
31,6,1,eligible,-19.711941864310827,-19.77505113545704,-0.06310927114621379,negative,8,55
31,6,2,eligible,-19.77505113545704,-19.694506676937127,0.08054445851991332,positive,8,55
31,6,3,eligible,-19.694506676937127,-19.443251248365694,0.251255428571433,positive,8,55
31,7,1,eligible,-25.921521246291668,-25.891448136946646,0.03007310934502172,positive,8,51
31,7,2,eligible,-25.891448136946646,-25.915945165344986,-0.024497028398339893,negative,8,51
